"report_date","test","negative","positive","deaths","East of England","London","Midlands","North East and Yorkshire","North West","South East","South West","To be determined","Total"
"25 January 2020","31","31","0","0",,,,,,,,,
"26 January 2020","52","52","0","0",,,,,,,,,
"27 January 2020","73","73","0","0",,,,,,,,,
"28 January 2020","97","97","0","0",,,,,,,,,
"29 January 2020","130","130","0","0",,,,,,,,,
"30 January 2020","161","161","0","0",,,,,,,,,
"31 January 2020","177","175","2","0",,,,,,,,,
"1 February 2020","203","201","2","0",,,,,,,,,
"2 February 2020","266","264","2","0",,,,,,,,,
"3 February 2020","326","324","2","0",,,,,,,,,
"4 February 2020","416","414","2","0",,,,,,,,,
"5 February 2020","468","466","2","0",,,,,,,,,
"6 February 2020","566","563","3","0",,,,,,,,,
"7 February 2020","620","617","3","0",,,,,,,,,
"8 February 2020","686","683","3","0",,,,,,,,,
"9 February 2020","795","791","4","0",,,,,,,,,
"10 February 2020","1114","1106","8","0",,,,,,,,,
"11 February 2020","1358","1350","8","0",,,,,,,,,
"12 February 2020","1758","1750","8","0",,,,,,,,,
"13 February 2020","2521","2512","9","0",,,,,,,,,
"14 February 2020","2964","2955","9","0",,,,,,,,,
"15 February 2020","2992","2983","9","0",,,,,,,,,
"16 February 2020","3109","3100","9","0",,,,,,,,,
"17 February 2020","4501","4492","9","0",,,,,,,,,
"18 February 2020","4916","4907","9","0",,,,,,,,,
"19 February 2020","5216","5207","9","0",,,,,,,,,
"20 February 2020","5549","5540","9","0",,,,,,,,,
"21 February 2020","5885","5876","9","0",,,,,,,,,
"22 February 2020","6152","6143","9","0",,,,,,,,,
"23 February 2020","6324","6315","9","0",,,,,,,,,
"24 February 2020","6536","6527","9","0",,,,,,,,,
"25 February 2020","6795","6782","13","0",,,,,,,,,
"26 February 2020","7132","7119","13","0",,,,,,,,,
"27 February 2020","7690","7675","15","0",,,,,,,,,
"28 February 2020","8986","8966","20","0",,,,,,,,,
"29 February 2020","10483","10460","23","0",,,,,,,,,
"1 March 2020","11750","11715","35","0",,,,,,,,,
"2 March 2020","13525","13485","40","0",,,,,,,,,
"3 March 2020","13911","13860","51","0",,,,,,,,,
"4 March 2020","16659","16574","85","0",,,,,,,,,
"5 March 2020","18083","17968","115","0","8","25","9","10","17","17","15","4","105"
"6 March 2020","20338","20175","163","1","11","29","12","13","21","24","22","15","147"
7 March 2020,21460,21254,206,2,16,38,17,18,26,30,25,14,184
8 March 2020,23513,23240,273,2,23,51,25,18,31,41,35,22,244
9 March 2020,24960,24641,319,3,24,61,31,22,35,43,38,26,280
10 March 2020,26261,25888,373,6,29,91,36,24,37,51,41,15,324
11 March 2020,27476,27020,456,6,32,104,42,32,43,60,44,30,387
12 March 2020,29764,29174,590,8,32,136,44,44,53,83,42,57,491
13 March 2020,32771,31973,798,10,,,,,,,,,
14 March 2020,37746,36606,1140,21,,,,,,,,,
15 March 2020,40279,38907,1372,35,,,,,,,,,
16 March 2020,44105,42562,1543,55,,,,,,,,,
17 March 2020,50442,48492,1950,71,,,,,,,,,
18 March 2020,56221,53595,2626,104,,,,,,,,,
19 March 2020,64621,61352,3269,144,,,,,,,,,
20 March 2020,66976,62993,3983,177,,,,,,,,,
21 March 2020,72818,67800,5018,233,,,,,,,,,
22 March 2020,78340,72657,5683,281,,,,,,,,,
23 March 2020,83945,77295,6650,335,,,,,,,,,
24 March 2020,90436,82359,8077,422,,,,,,,,,
25 March 2020,97019,87490,9529,463,,,,,,,,,
